name,native,code,code2,system_locale,charset,date_raw_format,time_raw_format,datetime_raw_format,date_format,time_format,datetime_format,decimal_point,thousands_sep,direction
Arabic,اَلْعَرَبِيَّةُ ,ar,ara,ar_EG.utf8,UTF-8,d/m/Y,h:i A,d/m/Y h:i A,%e %b %Y,%I:%M %P,%e %b %Y %I:%M %P,.,",",rtl
Bulgarian,български ,bg,bul,bg_BG.utf8,UTF-8,d/m/Y,H:i,d/m/Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",", ,ltr
Chinese,中文,zn,zho,zh_CN.utf8,UTF-8,m/d/y,H:i,m/d/y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,.,",",ltr
Croatian,Hrvatski ,hr,hrv,hr_HR.utf8,UTF-8,d/m/Y,H:i,d/m/Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",", ,ltr
Czech,Čeština,cz,ces,cz_CZ.utf8,UTF-8,d.m.Y,H:i,m.d.Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",", ,ltr
Danish,Dansk,da,dan,da_DK.utf8,UTF-8,Y-m-d,H:i,Y-m-d H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",",.,ltr
Dutch,Nederlands,nl,nld,nl_NL.utf8,UTF-8,d-m-Y,H:i,d-m-Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",",.,ltr
English,English,en,eng,en_US.utf8,UTF-8,m/d/y,h:i A,m/d/y h:i A,%b %e %Y,%I:%M %P,%b %e %Y %I:%M %P,.,",",ltr
Estonian,Eesti keelt ,et,est,et_EE.itf8,UTF-8,d.m.Y,H:i,d.M.Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",", ,ltr
Finnish,Suomi,fi,fin,fi_FI.utf8,UTF-8,Y-m-d,H:i,Y-m-d H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",", ,ltr
French,Française,fr,fre,fr_FR.utf8,UTF-8,d/m/Y,H:i,d/m/Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",",  ,ltr
German,Deutsch,de,deu,de_DE.utf8,UTF-8,Y-m-d,H:i,Y-m-d H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",",",",ltr
Greek,ελληνικά ,el,ell,el_GR.utf8,UTF-8,d/m/Y,H:i,d/m/Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",", ,ltr
Hebrew,עִבְרִית‎ ,he,heb,he_IL.utf8,UTF-8,d/m/Y,h:i A,d/m/Y h:i A,%e %b %Y,%I:%M %P,%e %b %Y %I:%M %P,.,",",rtl
Hindi,हिन्दी ,hi,hin,hi_IN.utf8,UTF-8,d/m/Y,h:i A,d/m/Y h:i A,%e %b %Y,%I:%M %P,%e %b %Y %I:%M %P,.,",",ltr
Hungarian,Hungarian,hu,hun,hu_HU.utf8,UTF-8,Y-m-d,H:i,Y-m-d H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",", ,ltr
Icelandic,Íslenska ,is,isl,is_IS.utf8,UTF-8,d.m.Y,H:i,d.m.Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",", ,ltr
Indonesian,Indonesia,id,ind,id_ID.utf8,UTF-8,d-m-Y,H:i,d-m-Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,",",.,ltr
Italian,Italiano,it,ita,it_IT.utf8,UTF-8,d/m/Y,H:i,d/m/Y H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,.,",",ltr
Japanese,日本語 ,ja,jpn,ja_JP.utf8,UTF-8,Y-m-d,H:i,Y-m-d H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,.,.,ltr
Korean,한국어 ,ko,kor,ko_KR.utf8,UTF-8,Y-m-d,H:i,Y-m-d H:i,%e %b %Y,%H:%M,%e %b %Y %H:%M,.,",",ltr
